t,step,label,ts
1,19,19_cb_advances,1757762709350521792
2,19,19_cb_advances,1757762709361459294
3,19,19_cb_advances,1757762709373078903
4,19,19_cb_advances,1757762709384089156
5,19,19_cb_advances,1757762709394961045
6,19,19_cb_advances,1757762709406736558
7,19,19_cb_advances,1757762709418343856
8,19,19_cb_advances,1757762709431269421
9,19,19_cb_advances,1757762709442170295
10,19,19_cb_advances,1757762709452049414
11,19,19_cb_advances,1757762709463315410
12,19,19_cb_advances,1757762709474865213
13,19,19_cb_advances,1757762709485809451
14,19,19_cb_advances,1757762709496409782
15,19,19_cb_advances,1757762709507641615
16,19,19_cb_advances,1757762709518403257
17,19,19_cb_advances,1757762709529859804
18,19,19_cb_advances,1757762709540931109
19,19,19_cb_advances,1757762709551637425
20,19,19_cb_advances,1757762709566955582
21,19,19_cb_advances,1757762709577961565
22,19,19_cb_advances,1757762709588361558
23,19,19_cb_advances,1757762709600543107
24,19,19_cb_advances,1757762709611722228
25,19,19_cb_advances,1757762709622229291
26,19,19_cb_advances,1757762709634257753
27,19,19_cb_advances,1757762709646760073
28,19,19_cb_advances,1757762709662439245
29,19,19_cb_advances,1757762709677412274
30,19,19_cb_advances,1757762709690659229
31,19,19_cb_advances,1757762709704536317
32,19,19_cb_advances,1757762709717450983
33,19,19_cb_advances,1757762709730981364
34,19,19_cb_advances,1757762709742636673
35,19,19_cb_advances,1757762709756316816
36,19,19_cb_advances,1757762709767075242
37,19,19_cb_advances,1757762709780219644
38,19,19_cb_advances,1757762709792971924
39,19,19_cb_advances,1757762709806122519
40,19,19_cb_advances,1757762709818517540
41,19,19_cb_advances,1757762709830356305
42,19,19_cb_advances,1757762709843405822
43,19,19_cb_advances,1757762709856924022
44,19,19_cb_advances,1757762709880554614
45,19,19_cb_advances,1757762709896683259
46,19,19_cb_advances,1757762709914397759
47,19,19_cb_advances,1757762709925080003
48,19,19_cb_advances,1757762709937628757
49,19,19_cb_advances,1757762709952181677
50,19,19_cb_advances,1757762709964062127
51,19,19_cb_advances,1757762709978640303
52,19,19_cb_advances,1757762709991507623
53,19,19_cb_advances,1757762710004540592
54,19,19_cb_advances,1757762710016909298
55,19,19_cb_advances,1757762710030296778
56,19,19_cb_advances,1757762710043307606
57,19,19_cb_advances,1757762710059708317
58,19,19_cb_advances,1757762710072249432
59,19,19_cb_advances,1757762710083289696
60,19,19_cb_advances,1757762710095152156
61,19,19_cb_advances,1757762710106460173
62,19,19_cb_advances,1757762710118965505
63,19,19_cb_advances,1757762710136569312
64,19,19_cb_advances,1757762710155113782
65,19,19_cb_advances,1757762710172434345
66,19,19_cb_advances,1757762710186688395
67,19,19_cb_advances,1757762710199866741
68,19,19_cb_advances,1757762710211861034
69,19,19_cb_advances,1757762710224007423
70,19,19_cb_advances,1757762710234161461
71,19,19_cb_advances,1757762710248350099
72,19,19_cb_advances,1757762710260906726
73,19,19_cb_advances,1757762710273890660
74,19,19_cb_advances,1757762710285036032
75,19,19_cb_advances,1757762710297100506
76,19,19_cb_advances,1757762710310730141
77,19,19_cb_advances,1757762710322120967
78,19,19_cb_advances,1757762710331606190
79,19,19_cb_advances,1757762710343236433
80,19,19_cb_advances,1757762710354160081
81,19,19_cb_advances,1757762710366250063
82,19,19_cb_advances,1757762710379887448
83,19,19_cb_advances,1757762710390349061
84,19,19_cb_advances,1757762710404755778
85,19,19_cb_advances,1757762710417930693
86,19,19_cb_advances,1757762710429670231
87,19,19_cb_advances,1757762710440773540
88,19,19_cb_advances,1757762710452198845
89,19,19_cb_advances,1757762710465260341
90,19,19_cb_advances,1757762710477228055
91,19,19_cb_advances,1757762710488106873
